title,deal_price
Monster Hunter: World - Complete Sticker Pack (English/Chinese/Korean/Japanese Ver.),"Rp 59,200"
Monster Hunter: World - DLC Collection (English/Chinese/Korean/Japanese Ver.),"Rp 225,340"
"Assassin's Creed Origins - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 131,800"
War Thunder -  French Starter Pack (English/Chinese/Korean/Japanese Ver.),"Rp 69,500"
War Thunder - British Starter Pack (English/Chinese/Korean/Japanese Ver.),"Rp 69,500"
War Thunder - Chinese Starter Pack (English/Chinese/Korean Ver.),"Rp 69,500"
"War Thunder - German Starter Bundle (English, Japanese)","Rp 34,500"
War Thunder - German Beginner's Pack (English/Chinese/Korean/Japanese Ver.),"Rp 34,500"
War Thunder - Italian Starter Pack (English/Chinese/Korean/Japanese Ver.),"Rp 69,500"
War Thunder - Japanese Starter Pack (English/Chinese/Korean/Japanese Ver.),"Rp 69,500"
War Thunder - Swedish Starter Pack (English/Chinese/Korean Ver.),"Rp 69,500"
"War Thunder - US Starter Bundle (English, Japanese)","Rp 34,500"
War Thunder - US Starter Pack (English Ver.),"Rp 36,000"
War Thunder - USSR Starter Pack (English Ver.),"Rp 54,000"
"Borderlands 3 PS4™ &  PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 222,500"
"Borderlands 3: Super Deluxe Edition PS4™ &  PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 382,800"
Borderlands 3 Season Pass Bundle (Add-On),"Rp 399,600"
LEGO® Marvel's Avengers Deluxe Edition (Chinese Ver.),"Rp 197,600"
Ultimate Chicken Horse (English/Chinese/Korean/Japanese Ver.),"Rp 58,000"
Street Fighter 30th Anniversary Collection (English/Chinese/Korean/Japanese Ver.),"Rp 175,200"
Outlast 2 (English/Chinese Ver.),"Rp 33,300"
Assassin's Creed® III Remastered - Digital Standard Edition (English/Chinese/Korean/Japanese Ver.),"Rp 183,600"
"OlliOlli World - Rad Edition (PS4/PS5) (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 425,040"
Ultra Street Fighter IV (English/Korean/Japanese Ver.),"Rp 163,000"
Ni no Kuni™ II: Revenant Kingdom (English),"Rp 102,000"
Ni no Kuni™ II: Revenant Kingdom - The Prince's Edition (English),"Rp 136,500"
Ni no Kuni™ II: Revenant Kingdom - Season Pass (English Ver.),"Rp 92,000"
"Marvel's Iron Man VR Digital Deluxe Edition (English, Korean, Japanese, Traditional Chinese)","Rp 349,500"
"Far Cry 4 - Digital Gold Edition (English, Korean)","Rp 171,270"
Far Cry 4 - Season Pass (English/Korean Ver.),"Rp 86,790"
DmC Devil May Cry: Definitive Edition full game (English/Japanese Ver.),"Rp 121,250"
"Ace Attorney Turnabout Collection (English, Japanese)","Rp 499,380"
"The Great Ace Attorney Chronicles (English, Japanese)","Rp 355,880"
EARTH DEFENSE FORCE: IRON RAIN Deluxe Edition (English/Chinese/Korean/Japanese Ver.),"Rp 213,500"
LEGO® Jurassic World™ (English Ver.),"Rp 157,600"
"Saints Row: The Third Remastered (English, Korean)","Rp 149,000"
"Saints Row: The Third Remastered (English, Korean)","Rp 149,000"
ULTIMATE MARVEL VS. CAPCOM 3 (English/Japanese Ver.),"Rp 97,800"
"Shadow Tactics: Blades of the Shogun (Simplified Chinese, English, Korean, Japanese)","Rp 57,900"
"MX vs ATV Legends Leader Pack (Simplified Chinese, English, Korean, Japanese)","Rp 663,200"
Dishonored 2 (English/Chinese Ver.),"Rp 85,800"
The Elder Scrolls Online: High Isle Upgrade (Add-On),"Rp 289,500"
"Aliens: Fireteam Elite PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 278,850"
Devil May Cry HD Collection (English/Chinese/Japanese Ver.),"Rp 133,960"
"Bloodshore (Simplified Chinese, English, Korean, Japanese)","Rp 119,400"
AER - Memories of Old (English/Chinese/Korean/Japanese Ver.),"Rp 19,900"
"Assassin's Creed Unity - Digital Standard Edition (English, Korean, Traditional Chinese)","Rp 78,900"
"Tom Clancy’s Rainbow Six Extraction PS4 & PS5 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 257,500"
Outlaw Tribe Nemesis Expansion (English/Chinese/Korean Ver.),"Rp 59,700"
Slaughter Tribe Nemesis Expansion (English/Chinese/Korean Ver.),"Rp 59,700"
The Blade of Galadriel Story Expansion (English/Chinese/Korean Ver.),"Rp 59,700"
The Desolation of Mordor Story Expansion (English/Chinese/Korean Ver.),"Rp 79,500"
Assassin's Creed® IV Black Flag - Digital Standard Edition – PlayStation®Hits (English),"Rp 83,700"
Season Pass (English Ver.),"Rp 49,250"
HITMAN™ - GOTY Legacy Pack (Game),Unavailable
UNCHARTED: The Nathan Drake Collection™ PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 111,600"
"THE IDOLM@STER STARLIT SEASON Digital Deluxe Edition (Simplified Chinese, Korean, Traditional Chinese)","Rp 631,950"
Phoenix Wright: Ace Attorney Trilogy (English/Chinese/Korean/Japanese Ver.),"Rp 217,000"
"「Far Cry 5 - Digital Gold Edition」+「Far Cry 4 - Gold Edition」+「Far Cry 3 Classic - Digital Standard Edition」Bundle (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 528,000"
"Far Cry 5 - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 164,750"
LittleBigPlanet™ 3 PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 139,500"
Monster Energy Supercross - The Official Videogame 4 (English),"Rp 115,800"
Monster Energy Supercross - The Official Videogame 4 (English),"Rp 115,800"
Monster Energy Supercross 4 - Special Edition (English),"Rp 124,350"
Monster Energy Supercross 4 - Special Edition (English),"Rp 124,350"
"Night Book (Simplified Chinese, English, Korean, Japanese)","Rp 109,450"
Kill It With Fire: Exterminator Edition (English),"Rp 139,500"
One Night Stand (English/Chinese Ver.),"Rp 23,460"
"I Saw Black Clouds (Simplified Chinese, English, Korean, Japanese)","Rp 119,400"
FullBlast (English/Chinese/Korean/Japanese Ver.),"Rp 24,900"
"Smoots Golf PS4 & PS5 (English, Korean, Japanese, Traditional Chinese)","Rp 69,500"
"Eight Dragons (PS4 & PS5) (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 44,400"
GhoulBoy (English/Chinese/Korean/Japanese Ver.),"Rp 29,800"
"The Dwarves (Simplified Chinese, English, Korean)","Rp 173,700"
"Rebel Cops (Simplified Chinese, English, Korean, Japanese)","Rp 55,600"
"Wildcat Gun Machine (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 119,400"
"Beat Souls PS4 & PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 69,500"
"CASE: Animatronics (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 55,600"
EARTH DEFENSE FORCE 5 SEASON PASS (English/Chinese/Korean Ver.),"Rp 174,000"
"EA STAR WARS™ TRIPLE BUNDLE (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 338,700"
Capcom Belt Action Collection (English/Chinese/Japanese Ver.),"Rp 138,000"
Sword ＆ Fairy 6 (English/Chinese Ver.),"Rp 120,600"
Crash Bandicoot™ - Crashiversary Bundle (English),"Rp 764,550"
Crash Bandicoot™ - Quadrilogy Bundle (English),"Rp 645,000"
Pantsu Hunter: Back to the 90s (English Ver.),"Rp 42,000"
"Ice Cream Surfer PS4 & PS5 (English, Korean, Japanese, Traditional Chinese)","Rp 72,150"
BDSM: Big Drunk Satanic Massacre (English/Chinese/Korean/Japanese Ver.),"Rp 55,800"
Breakneck City PS4 & PS5 (English),"Rp 69,500"
"Project Starship X (English, Japanese)","Rp 41,700"
"Super Robot Wars 30 Digital Deluxe Edition (English, Japanese)","Rp 647,400"
DRAGON BALL FighterZ Ultimate Edition (English),"Rp 178,500"
"Just Dance 2022 PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 239,600"
"Just Dance 2022 PS4 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 239,600"
"Just Dance 2022 Ultimate Edition PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 424,500"
"Just Dance 2022 Ultimate Edition PS4 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 424,500"
SD GUNDAM G GENERATION CROSS RAYS (English Ver.),"Rp 219,750"
SD GUNDAM G GENERATION CROSS RAYS SEASON PASS (English Ver.),"Rp 139,600"
